post_title,post_date,post_writer,published_institution,published_institution_url,top_category
보호및정착지원에관한법률중개정법률안(황우여의원) - 2004.12.6,2007-08-11 13:35:30,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
북한이탈주민의보호및정착지원에관한법률시행령 - 2005.6.30,2007-08-11 13:23:11,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
보호및정착지원에관한법률중개정법률안(박승환의원) - 2005.7.15,2007-08-11 13:36:52,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
근로기준법 - 2005.1.27,2007-06-12 18:23:25,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
북한이탈주민의보호및정착지원에관한법률시행규칙 - 2004.12.18,2007-08-11 13:22:40,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
고용보험법 - 2005.12.7,2007-08-11 13:24:35,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
보호및정착지원에관한법률중개정법률안(이성권의원) - 2005.10.25,2007-08-11 13:39:24,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
북한이탈주민교육지원지침 - 2001.1.30,2007-08-11 13:43:10,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
보호및정착지원에관한법률중개정법률안(이경재의원) - 2004.11.12,2007-08-11 13:33:53,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
최저임금법 - 2005.5.31,2007-06-12 18:22:35,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
보호및정착지원에관한법률중개정법률안(박성범의원) - 2006.2.1,2007-08-11 13:40:26,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
보호및정착지원에관한법률중개정법률안(이화영의원) - 2005.9.14,2007-08-11 13:38:03,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
북한이탈주민 지원제도 세부내용,2007-08-11 13:48:52,관리자,탈북자동지회,http://nkd.or.kr/,법률자료
북한이탈주민 정착지원제도 현황 - 2004.12.31,2007-06-12 18:34:43,관리자,탈북자동지회,http://nkd.or.kr/,통계자료
